,komentar,rating,kelas,komentar_bersih
0,barang original terbaik Xiaomi terimakasih...,5,positif,barang original baik xiaomi terimakasih
1,"Barang nya bagus, tapi bikin kapok beli di sini, respon penjual nya jelek banget, mau ganti pesanan jd nya gabisa, padahal bukan gajadi beli, mau ganti pesanan doang",1,negatif,barang bagus bikin kapok beli respon jual jelek banget ganti pesan jd gabisa gajadi beli ganti pesan doang
2,pengiriman lumayan lama tapi gapapa. Hp baguss,5,positif,kirim lumayan gapapa hp baguss
3,mantap sesuai pesanan walau telat dikit tapi puas,5,positif,mantap sesuai pesan telat dikit puas
4,Spek oke. Worth to buy. Pengiriman cepat. Barang orisinil.,5,positif,spek oke worth to buy kirim cepat barang orisinil
5,"top markotob bosskuuu hp nya segel resmi, sampe Lampung aman boss ga ada kerusakan apa2, sempet khawatir krna perdana beli hp online, sampe paketnya dijemput sendiri ke k... ",5,positif,top markotob bosskuuu hp segel resmi sampe lampung aman boss ga rusa sempet khawatir krna perdana beli hp online sampe paket jemput k
6,"ORI Xiaomi redmi 10, mantap",5,positif,ori xiaomi redmi mantap
7,"Slow respon. Tidak rekomen untuk kebutuhan cepat. kalau bisa beli offline lebih baik, walau selisih sedikit.",2,negatif,slow respon rekomen butuh cepat beli offline selisih
8,"Barang sampai dgn selamat, hanya saja, dus packing-annya lumayan penyok saat saya terima. untungnya tdk berefek besar sama dus hpnya.",5,positif,barang dgn selamat dus packing annya lumayan penyok terima untung tdk efek dus hpnya
9, ,5,positif,
10,Baguss 👍🏻👍🏻👍🏻,5,positif,baguss
11,"barang pasti ori. pengiriman aman. ga bisa liatin hp nya, soalnya udah langsung di pake.. pokonya mantap.. 👍",5,positif,barang ori kirim aman ga liatin hp udah langsung pake poko mantap
12, ,3,netral,
13,"berfungsi dengan baik, semua aman",5,positif,fungsi aman
14,"kurir tepat waktu, barang ok",5,positif,kurir barang ok
15,"Barang sesuai dengan pesanan
Terima Kasih",5,positif,barang sesuai pesan terima kasih
16,"barang masih segel, jadi di jamin ori,, kecepatan pengiriman sangat baik",5,positif,barang segel jamin ori cepat kirim
17,"Barang sudah sampai, terlambat tapi aman.. Barang kondisi baik, original, segel... hanya pengiriman yang awalnya next day berasa seperti reguler, tapi gak apa2... pengema... ",5,positif,barang lambat aman barang kondisi original segel kirim next day asa reguler gak pengema
18,barang sampe dgn selamat tanpa cacat mantep packing dikasi buble wrap,5,positif,barang sampe dgn selamat cacat mantep packing kasi buble wrap
19,"Alhamdulillah udah smpe dengan selamat dan aman 👍
ga di sertakan foto krna pesenan orang 🙏",5,positif,alhamdulillah udah smpe selamat aman ga serta foto krna sen orang
20,"barang ok, pengemasan aja yg lama",4,positif,barang ok emas aja
21,untuk pengiriman bisa lebih dipercepat aja jangan mepet diakhir estimasi kedatangan agak customer senang,5,positif,kirim cepat aja mepet akhir estimasi datang customer senang
