,komentar,rating,kelas,komentar_bersih
0,"ok bnget, cuma kurirnya aja sampe 2 hari bad adress mulu Ukurannya pas",5,positif,ok bnget kurir aja sampe bad adress mulu ukur pas
1,"bahan adem, enak dipake",5,positif,bahan adem enak dipake
2,"Baju pas, sesuai chart, kualitas bagus, tipis tapi adem, seller membantu masalah ukuran, uda sering beli Erigo, so far ngga pernah kecewa/di kecewain.",5,positif,baju pas sesuai chart kualitas bagus tipis adem seller bantu ukur uda beli erigo so far ngga kecewa kecewain
3,Ukurannya pas,5,positif,ukur pas
4,produknya bagus. cuma ukurannya terlalu besar,5,positif,produk bagus ukur
5,sesuai pesanan 👍,5,positif,sesuai pesan
6,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg,5,positif,ukur pas badan cm berat badan kg
7,Ukurannya pas.... modelnya keren..cocok buat anak-anak,5,positif,ukur pas model keren cocok anak anak
8,ERIGO short shirt Jazlyn black size XL sesuai pesanan sudah diterima Thank u ERIGO Official,5,positif,erigo short shirt jazlyn black size xl sesuai pesan terima thank u erigo official
9, ,3,netral,
10,Ukurannya pas,5,positif,ukur pas
11,keren lah ulasannya kalau dapat harga murah mah. mantep pisan euy. sukses terus erigo!,5,positif,keren ulas harga murah mah mantep pis euy sukses erigo
12,"agak kepanjangan, jadi masukin baju ke celana, ... bahan halus, lumayan neh",5,positif,panjang masukin baju celana bahan halus lumayan neh
13,"pko'y udh kesekian Kalinya bli Erigo & ga pernah mengecewakan, selalu Oke..yg sya suka itu model simpel tpi elegan.",5,positif,pko y udh sekian kali bli erigo ga kecewa oke sya suka model simpel tpi elegan
14,keren udah order ke 2 kali,5,positif,keren udah order kali
15,"mantap pokonya,tengkyu.",5,positif,mantap poko tengkyu
16,🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,5,positif,
17,"Barang Bagus.

kalau bisa jangan lagi pakai exp JN* pesen barang di tiga 3 toko berbeda dan beda kota, semua nya lambat karna pengiriman di bulak balik gudang A ke B bali... ",5,positif,barang bagus pakai exp jn sen barang toko beda beda kota lambat karna kirim bulak gudang a b bal
18,"sudah sesuai pesanan bahan bagus sesuai ekspetasi, pengiriman juga tokcer cepat pake banget harga juga oke, intinya puas",5,positif,sesuai pesan bahan bagus sesuai ekspetasi kirim tokcer cepat pake banget harga oke inti puas
19,"Modelnya Ok,
Bahannya lembut,
Worth it pokoknya..",5,positif,model ok bahan lembut worth it pokok
20,bagus,5,positif,bagus
21,Mantap bangett pas di badan bahannya ternyata bagus dan tebel cuyyy,5,positif,mantap bangett pas badan bahan bagus tebel cuyyy
22,"Mantap, bahan lembut dengan tinggi 180 dan BB 80 ukuran XL terasa pas. 
ini agak kusut karena baru unboxing dan belum disetrika. 
mantap pokoknya Erigo. 👏👍",5,positif,mantap bahan lembut bb ukur xl pas kusut unboxing setrika mantap pokok erigo
23,"selalu nya happy, selalu nya repeat order",5,positif,happy repeat order
24,"produk sesuai deksripsi, packing oke, respons juga oke, terima kasih",5,positif,produk sesuai deksripsi packing oke respons oke terima kasih
25,ok...thx...walaupun banyak benang jahit yg keluar2...tp lumayan lah...,4,positif,ok thx benang jahit tp lumayan
26,Dapet harga 35rb plus ongkir 13rb gpp jd 48rb dapet Erigo ini Suka sama Bahannya Adem Banget Nyaman bahannya gatipis..,5,positif,dapet harga rb plus ongkir rb gpp jd rb dapet erigo suka bahan adem banget nyaman bahan gatipis
27,Dapet harga 35rb plus ongkir 13rb gpp jd 48rb dapet Erigo ini Suka sama Bahannya Adem Banget Nyaman bahannya gatipis..,5,positif,dapet harga rb plus ongkir rb gpp jd rb dapet erigo suka bahan adem banget nyaman bahan gatipis
28,"kerennn, bahannya juga adem,adminnya jg ramah,tengkyu 🙏",5,positif,kerennn bahan adem adminnya jg ramah tengkyu
29,bagus bahannya adem . ukuran besar tp jatuhnya ga kegedean,5,positif,bagus bahan adem ukur tp jatuh ga gede
30,"Untuk warna hitam, ukuran selalu konsisten dan pasti bahan adem.",5,positif,warna hitam ukur konsisten bahan adem
31,Bahan adem,5,positif,bahan adem
32,Bagus banget. Bahan adem.,5,positif,bagus banget bahan adem
33,pengirimannya doang agak lama,5,positif,kirim doang
34,oke,5,positif,oke
35,"Bahannya adem sih dan harganya miring
Tp pas sekali cuci mesin cuci
Jahitannya bredel di bagian lengan 🥲
Tp lumayan sih",3,netral,bahan adem sih harga miring tp pas cuci mesin cuci jahit bredel lengan tp lumayan sih
36,mantappp abisss,5,positif,mantappp abisss
37, ,5,positif,
38,mantap,5,positif,mantap
39,Keren bahan bagus,5,positif,keren bahan bagus
40, ,5,positif,
41, ,5,positif,
42,"M oversize, lebih besar dari biasanya",5,positif,m oversize
43,"pengiriman cepat, packing rapih. kondisi produk sesuai..👍👍",5,positif,kirim cepat packing rapih kondisi produk sesuai
44,ukuran L nya terlalu besar,1,negatif,ukur l
45,Size M jadi oversize untuk TB 165 cm/BB 56 kg,5,positif,size m oversize tb cm bb kg
46,"original, barang bagus sesuai",5,positif,original barang bagus sesuai
47,"BAHANNYA GAMPANG BGT LECEK, DI SETRIKA SUSAH POL. TAPI ADEM SI",4,positif,bahan gampang bgt lecek setrika susah pol adem si
48, ,2,negatif,
49,mantap,5,positif,mantap
50,pengiriman cepat dan barang bagus.,5,positif,kirim cepat barang bagus
51,"mendarat dengan aman, kualitas sesuai dengan harga",5,positif,darat aman kualitas sesuai harga
52, ,1,negatif,
53,Warnanya lucu dan bahan yang dipakai nyaman apalagi di cuaca panas. Terima kasih ya 😊,5,positif,warna lucu bahan pakai nyaman cuaca panas terima kasih ya
54,"Bagus, tapi kerah terlalu kecil",4,positif,bagus kerah
55,TOP,5,positif,top
56,"Kualitas barang bagus banget sih, lokal terbaik sejauh ini. Pengiriman sgt cepat",5,positif,kualitas barang bagus banget sih lokal baik kirim sgt cepat
57,ok,5,positif,ok
58,bahannya bagus baget kualitas terbaik,5,positif,bahan bagus baget kualitas baik
59,sesuai pesanan,5,positif,sesuai pesan
60,"pesen 2 pcs warna coklat dan hitam. sama2 ambil ukuran L, tapi pas di pakai ukurannya beda, yg coklat terlalu kecil, sedangkan yg hitam kebesaran. Jahitan yang warna hita... ",2,negatif,sen pcs warna coklat hitam ambil ukur l pas pakai ukur beda coklat hitam besar jahit warna hita
61,yuhuuu mau order lagi nich,5,positif,yuhuuu order nich
62,"bhan lumayan bagus dan adem...
pengiriman cepat dan paking cukup rapih...",5,positif,bhan lumayan bagus adem kirim cepat paking rapih
63,Bagus & adem,5,positif,bagus adem
64,"Bahan baju adem bgt, baru tau ternyata bahan rayon itu adem dan lumayan lemes, jadi cocok buat jalan. desain baju baikk, pengiriman regulernya cepat. terima kasih!",5,positif,bahan baju adem bgt tau bahan rayon adem lumayan lemes cocok jalan desain baju baikk kirim reguler cepat terima kasih
65,Beli 5 yang dikirim cuma 2,1,negatif,beli kirim
66,"Saya suka sih sama kemeja rayonnya Erigo yg ini. Saya sudah 2x beli, pengalaman beli dari erigo sebelumnya mengecewakan, adminnya slo-res, barang dikirim ke kurirnya lama... ",5,positif,suka sih kemeja rayon erigo x beli alam beli erigo kecewa adminnya slo res barang kirim kurir
67,CO nya  tanggal berapa dikirimnya 5 hari setelah CO..  nyesel banget,1,negatif,co tanggal kirim co nyesel banget
68,udah beli ke 4 kali.. brand erigo memang keren,5,positif,udah beli kali brand erigo keren
69,"model keren, kualitas baik, worth it",5,positif,model keren kualitas worth it
70, ,5,positif,
71,bahannya adem bagus,5,positif,bahan adem bagus
72,bahannya lembut tp tebal dan adem,4,positif,bahan lembut tp tebal adem
73,"respon penjual baik pengemasan dan pengiriman cepat sampai, bahan nya adem bgt jatuh enak dipakai, harga hemat",5,positif,respon jual emas kirim cepat bahan adem bgt jatuh enak pakai harga hemat
74,bahannya enak dipakai dan tidak panas saat di pakai 😃😄,5,positif,bahan enak pakai panas pakai
75,"Modelnya keren, cutting dan fit nya bagus banget, bahannya nyaman",5,positif,model keren cutting fit bagus banget bahan nyaman
76,bahan super lembut dan lemes nyaman di pakai kain berkualitas kancing jahitan rapi dll sempurna,5,positif,bahan super lembut lemes nyaman pakai kain kualitas kancing jahit rapi dll sempurna
77,"sesuai pesanan, semoga awet",5,positif,sesuai pesan moga awet
78,bahannya adem,5,positif,bahan adem
79,ukuran S tapi kaya XL,1,negatif,ukur s kaya xl
80,"kaos bagus, hanya beberapa kendala saya alami. mungkin karena faktor lebaran. pengiriman terlalu lama dan tidak sesuai pesanan. tetapi komplain dilayani dengan baik. teri... ",5,positif,kaos bagus kendala alami faktor lebaran kirim sesuai pesan komplain layan teri
81,welll,5,positif,welll
82, ,5,positif,
83,kebesaran dari ukuran biasanya. padahal sudah sesuai dengan size chart. selebihnya oke. terimakasih,4,positif,besar ukur sesuai size chart lebih oke terimakasih
84,Tipis bahannya ternyata,5,positif,tipis bahan
85,"mantapp,, bahannya nyaman",5,positif,mantapp bahan nyaman
86,"barang sesuai pesanan, kualitas sesuai dengan harga",5,positif,barang sesuai pesan kualitas sesuai harga
87,bagus,5,positif,bagus
88,m rasa xl,2,negatif,m xl
89,Barang dikirim ke kurir sangat lama & barang dikirim salah dan tidak ada respon utk tanggungjawab 👎👎👎,1,negatif,barang kirim kurir barang kirim salah respon utk tanggungjawab
90,"keren ,tapi sayang kebesaran😂
salah ambil ukuran",5,positif,keren sayang besar salah ambil ukur
91,"tidak sesuai deskripsi ukurannya, kyk ukuran XL, udah dichat tapi gajawab jadi saya kasih bintang 1 🙏",1,negatif,sesuai deskripsi ukur kyk ukur xl udah dichat gajawab kasih bintang
92,warnanya suka. bahannya adem. jahitannya rapih. thanks,5,positif,warna suka bahan adem jahit rapih thanks
93,"parah pesan tgl:14-4-2023 abis lebaran baru dikirim, diperbaiki lagi",1,negatif,parah pesan tgl abis lebaran kirim baik
94,Nyaman model bagus jahitan rapi ukuran pas,5,positif,nyaman model bagus jahit rapi ukur pas
95,"Barang kurang 1, untung bisa balik duit nya, buat pelajaran aja jd bintang 1",1,negatif,barang untung duit ajar aja jd bintang
